Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W25,JM TRANSP.,,LM,% Utilização Frota Fixa (LM),> 95 %,> 93 %,74.29 %,5,20,0,-20.00 🔴,1
W24,JM TRANSP.,,LM,% Utilização Frota Fixa (LM),> 95 %,> 93 %,84.79 %,5,20,0,-20.00 🔴,1
W22,JM TRANSP.,,LM,% Utilização Frota Fixa (LM),> 95 %,> 93 %,87.38 %,5,20,0,-20.00 🔴,1
W21,JM TRANSP.,,LM,% Utilização Frota Fixa (LM),> 95 %,> 93 %,87.56 %,5,20,0,-20.00 🔴,1
W23,JM TRANSP.,,LM,% Utilização Frota Fixa (LM),> 95 %,> 93 %,89.46 %,5,20,0,-20.00 🔴,1
W21,JM TRANSP.,,XPT,Delivery Success XPT,> 98.2 %,> 97.2 %,94.19 %,8,32,0,-32.00 🔴,1
W22,JM TRANSP.,,XPT,Delivery Success XPT,> 98.2 %,> 97.2 %,95.72 %,8,32,0,-32.00 🔴,1
W23,JM TRANSP.,,XPT,Delivery Success XPT,> 98.2 %,> 97.2 %,95.13 %,8,32,0,-32.00 🔴,1
W25,JM TRANSP.,,XPT,Delivery Success XPT,> 98.2 %,> 97.2 %,89.24 %,8,32,0,-32.00 🔴,1
W24,JM TRANSP.,,XPT,Delivery Success XPT,> 98.2 %,> 97.2 %,95.21 %,8,32,0,-32.00 🔴,1
W23,JM TRANSP.,,XPT,% Real x D7 FDS (XPT) SPOT,> 90 %,> 80 %,100 %,6,24,24,0.00 🟢,0
W22,JM TRANSP.,,XPT,% Real x D7 FDS (XPT) SPOT,> 90 %,> 80 %,100 %,6,24,24,0.00 🟢,0
W24,JM TRANSP.,,XPT,% Real x D7 FDS (XPT) SPOT,> 90 %,> 80 %,100 %,6,24,24,0.00 🟢,0
W21,JM TRANSP.,,XPT,% Real x D7 FDS (XPT) SPOT,> 90 %,> 80 %,75 %,6,24,0,-24.00 🔴,1
W25,JM TRANSP.,,XPT,% Real x D7 FDS (XPT) SPOT,> 90 %,> 80 %,0 %,6,24,0,-24.00 🔴,1
W25,JM TRANSP.,,XPT,% Real x D7 Semana (XPT) SPOT,> 90 %,> 80 %,20 %,5,20,0,-20.00 🔴,1
W21,JM TRANSP.,,XPT,% Real x D7 Semana (XPT) SPOT,> 90 %,> 80 %,100 %,5,20,20,0.00 🟢,0
W23,JM TRANSP.,,XPT,% Real x D7 Semana (XPT) SPOT,> 90 %,> 80 %,75 %,5,20,0,-20.00 🔴,1
W22,JM TRANSP.,,XPT,% Real x D7 Semana (XPT) SPOT,> 90 %,> 80 %,100 %,5,20,20,0.00 🟢,0
W24,JM TRANSP.,,XPT,% Real x D7 Semana (XPT) SPOT,> 90 %,> 80 %,100 %,5,20,20,0.00 🟢,0
