Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W24,JM TRANSP.,,FM - XD,Ad. Config XD,> 97 %,> 95 %,3012.14 %,3,12,12,0.00 🟢,0
Mai,JM TRANSP.,,FM - XD,Ad. Config XD,> 97 %,> 95 %,96.47 %,3,12,6,-6.00 🔴,3
W23,JM TRANSP.,,FM - XD,Ad. Config XD,> 97 %,> 95 %,107.85 %,3,12,12,0.00 🟢,0
W26,JM TRANSP.,,LM,Delivery Success,> 98.2 %,> 96.5 %,95.75 %,7,28,0,-28.00 🔴,1
W23,JM TRANSP.,,LM,Delivery Success,> 98.2 %,> 96.59 %,96.11 %,7,28,0,-28.00 🔴,1
W25,JM TRANSP.,,LM,Delivery Success,> 98.2 %,> 96.5 %,96.07 %,7,28,0,-28.00 🔴,1
W24,JM TRANSP.,,LM,Delivery Success,> 98.2 %,> 96.5 %,96.4 %,7,28,0,-28.00 🔴,1
Mai,JM TRANSP.,,LM,Delivery Success,> 98.2 %,> 97.2 %,96.08 %,7,28,0,-28.00 🔴,1
W25,JM TRANSP.,,LM,PNR Anulado,> 0 %,,4.96 %,0,0,0,0.00 🟢,0
W23,JM TRANSP.,,LM,PNR Anulado,> 0 %,,15.79 %,0,0,0,0.00 🟢,0
W24,JM TRANSP.,,LM,PNR Anulado,> 0 %,,5.3 %,0,0,0,0.00 🟢,0
W26,JM TRANSP.,,LM,PNR Anulado,> 0 %,,2.91 %,0,0,0,0.00 🟢,0
Mai,JM TRANSP.,,LM,PNR Anulado,> 0 %,,12.18 %,0,0,0,0.00 🟢,0
W23,JM TRANSP.,,LM,% Real x D7 FDS (SVC) SPOT,> 90 %,> 80 %,54.55 %,4,16,0,-16.00 🔴,1
W25,JM TRANSP.,,LM,% Real x D7 FDS (SVC) SPOT,> 90 %,> 80 %,58.33 %,4,16,0,-16.00 🔴,0
W26,JM TRANSP.,,LM,% Real x D7 FDS (SVC) SPOT,> 90 %,> 80 %,75 %,4,16,0,-16.00 🔴,0
Mai,JM TRANSP.,,LM,% Real x D7 FDS (SVC) SPOT,> 90 %,> 80 %,64.29 %,4,16,0,-16.00 🔴,1
W24,JM TRANSP.,,LM,% Real x D7 FDS (SVC) SPOT,> 90 %,> 80 %,66.67 %,4,16,0,-16.00 🔴,0
W25,JM TRANSP.,,LM,Aceite Scheduling Pré Routing,< 5 %,< 7 %,4.14 %,4,16,16,0.00 🟢,0
W24,JM TRANSP.,,LM,Aceite Scheduling Pré Routing,< 5 %,< 7 %,3.78 %,4,16,16,0.00 🟢,0
W23,JM TRANSP.,,LM,Aceite Scheduling Pré Routing,< 5 %,< 7 %,5.03 %,4,16,8,-8.00 🔴,0
Mai,JM TRANSP.,,LM,Aceite Scheduling Pré Routing,< 5 %,< 7 %,5.74 %,4,16,8,-8.00 🔴,0
W26,JM TRANSP.,,LM,Aceite Scheduling Pré Routing,< 5 %,< 7 %,3.96 %,4,16,16,0.00 🟢,0
Mai,JM TRANSP.,,LM,SDD - % ER,> 95 %,> 93 %,73.61 %,5,20,0,-20.00 🔴,1
W26,JM TRANSP.,,LM,SDD - % ER,> 95 %,> 93 %,87.5 %,5,20,0,-20.00 🔴,1
W25,JM TRANSP.,,LM,SDD - % ER,> 95 %,> 93 %,89.78 %,5,20,0,-20.00 🔴,1
W23,JM TRANSP.,,LM,SDD - % ER,> 95 %,> 93 %,91.83 %,5,20,0,-20.00 🔴,1
W24,JM TRANSP.,,LM,SDD - % ER,> 95 %,> 93 %,95.76 %,5,20,20,0.00 🟢,0
W25,JM TRANSP.,,LM,% Utilização Frota Fixa (LM),> 95 %,> 93 %,84.96 %,5,20,0,-20.00 🔴,1
W24,JM TRANSP.,,LM,% Utilização Frota Fixa (LM),> 95 %,> 93 %,84.79 %,5,20,0,-20.00 🔴,1
Mai,JM TRANSP.,,LM,% Utilização Frota Fixa (LM),> 95 %,> 93 %,83.69 %,5,20,0,-20.00 🔴,1
W23,JM TRANSP.,,LM,% Utilização Frota Fixa (LM),> 95 %,> 93 %,89.46 %,5,20,0,-20.00 🔴,1
W26,JM TRANSP.,,LM,% Utilização Frota Fixa (LM),> 95 %,> 93 %,85.83 %,5,20,0,-20.00 🔴,1
W24,JM TRANSP.,,XPT,Delivery Success XPT,> 98.2 %,> 96.5 %,95.22 %,8,32,0,-32.00 🔴,1
W23,JM TRANSP.,,XPT,Delivery Success XPT,> 98.2 %,> 96.59 %,95.13 %,8,32,0,-32.00 🔴,1
Mai,JM TRANSP.,,XPT,Delivery Success XPT,> 98.2 %,> 97.2 %,95.21 %,8,32,0,-32.00 🔴,1
W25,JM TRANSP.,,XPT,Delivery Success XPT,> 98.2 %,> 96.5 %,94.75 %,8,32,0,-32.00 🔴,1
W26,JM TRANSP.,,XPT,Delivery Success XPT,> 98.2 %,> 96.5 %,95.01 %,8,32,0,-32.00 🔴,1
W25,JM TRANSP.,,XPT,% Real x D7 FDS (XPT) SPOT,> 90 %,> 80 %,80 %,6,24,12,-12.00 🔴,0
Mai,JM TRANSP.,,XPT,% Real x D7 FDS (XPT) SPOT,> 90 %,> 80 %,80 %,6,24,12,-12.00 🔴,0
W26,JM TRANSP.,,XPT,% Real x D7 FDS (XPT) SPOT,> 90 %,> 80 %,40 %,6,24,0,-24.00 🔴,1
W23,JM TRANSP.,,XPT,% Real x D7 FDS (XPT) SPOT,> 90 %,> 80 %,100 %,6,24,24,0.00 🟢,0
W24,JM TRANSP.,,XPT,% Real x D7 FDS (XPT) SPOT,> 90 %,> 80 %,100 %,6,24,24,0.00 🟢,0
W23,JM TRANSP.,,XPT,% Real x D7 Semana (XPT) SPOT,> 90 %,> 80 %,75 %,5,20,0,-20.00 🔴,1
W26,JM TRANSP.,,XPT,% Real x D7 Semana (XPT) SPOT,> 90 %,> 80 %,83.33 %,5,20,10,-10.00 🔴,0
W24,JM TRANSP.,,XPT,% Real x D7 Semana (XPT) SPOT,> 90 %,> 80 %,100 %,5,20,20,0.00 🟢,0
Mai,JM TRANSP.,,XPT,% Real x D7 Semana (XPT) SPOT,> 90 %,> 80 %,100 %,5,20,20,0.00 🟢,0
W25,JM TRANSP.,,XPT,% Real x D7 Semana (XPT) SPOT,> 90 %,> 80 %,83.33 %,5,20,10,-10.00 🔴,0
Mai,JM TRANSP.,,XPT,Telemetria MM XPT,> 72 %,> 70 %,67.31 %,6,24,0,-24.00 🔴,1
W25,JM TRANSP.,,XPT,Telemetria MM XPT,> 72 %,> 70 %,58.38 %,6,24,0,-24.00 🔴,1
W23,JM TRANSP.,,XPT,Telemetria MM XPT,> 72 %,> 70 %,72.2 %,6,24,24,0.00 🟢,0
W26,JM TRANSP.,,XPT,Telemetria MM XPT,> 72 %,> 70 %,,6,24,0,-24.00 🔴,1
W24,JM TRANSP.,,XPT,Telemetria MM XPT,> 72 %,> 70 %,54.35 %,6,24,0,-24.00 🔴,1
W24,JM TRANSP.,,XPT,BPP XPT,< 0 %,,2.15 %,0,0,0,0.00 🟢,0
W23,JM TRANSP.,,XPT,BPP XPT,< 0 %,,2.22 %,0,0,0,0.00 🟢,0
W26,JM TRANSP.,,XPT,BPP XPT,< 0 %,,0 %,0,0,0,0.00 🟢,0
Mai,JM TRANSP.,,XPT,BPP XPT,< 0 %,,7.55 %,0,0,0,0.00 🟢,0
W25,JM TRANSP.,,XPT,BPP XPT,< 0 %,,1.91 %,0,0,0,0.00 🟢,0
W23,JM TRANSP.,,SRM,Notificações Extrajudicial,< 0,< 0,,-3,-12,0,0.00 🟢,
W25,JM TRANSP.,,SRM,Notificações Extrajudicial,< 0,< 0,,-3,-12,0,0.00 🟢,
Mai,JM TRANSP.,,SRM,Notificações Extrajudicial,< 0,< 0,,-3,-12,0,0.00 🟢,
W24,JM TRANSP.,,SRM,Notificações Extrajudicial,< 0,< 0,,-3,-12,0,0.00 🟢,
W26,JM TRANSP.,,SRM,Notificações Extrajudicial,< 0,< 0,,-3,-12,0,0.00 🟢,
W24,JM TRANSP.,,SRM,Bloqueio de Drivers,< 1 %,,0.21 %,-3,-12,0,0.00 🟢,
Mai,JM TRANSP.,,SRM,Bloqueio de Drivers,< 1 %,,0.47 %,-3,-12,0,0.00 🟢,
W23,JM TRANSP.,,SRM,Bloqueio de Drivers,< 1 %,,0.14 %,-3,-12,0,0.00 🟢,
W26,JM TRANSP.,,SRM,Bloqueio de Drivers,< 1 %,,0 %,-3,-12,0,0.00 🟢,
W25,JM TRANSP.,,SRM,Bloqueio de Drivers,< 1 %,,0.21 %,-3,-12,0,0.00 🟢,
W25,JM TRANSP.,,SRM,Auditorias Supplier Program,> 80 %,> 70 %,91.76 %,-4,-16,0,0.00 🟢,
Mai,JM TRANSP.,,SRM,Auditorias Supplier Program,> 80 %,> 70 %,91.13 %,-4,-16,0,0.00 🟢,
